Author,Rating,Review Title,Full Review,Likes,Dislikes,Date
Snehil Arya,5,Best in the market!,"Poco F1 is surely made for the hardcore gaming.... unbeatable performance (SD845, name is enough)..... camera is decent, edge detection in portrait mode is perfect and 20 MP selfie shooter is also good but lacks soft flashlight (its okay bcoz it has screen flash which works just fine)... massive 4000 mah battery, lasts a day in everyday use..... Speaker is loud and well mounted (stereo speaker, dual speaker).... IR camera separately provided for face unlock and it does unlock the device by ca...",128,7,"Oct, 2018"
Flipkart Customer,5,Simply awesome,its camera and its performance is awesome its speed like thunder. I am playing pubg in this mobile and its performance OMG its smoth like a high graphics Computer. this phone have a game booster also,2645,413,"Sep, 2019"
Manjunath S,5,Excellent,"You will not get a value for money type of deal better than this. Xiaomi absolutely nailed the market with this masterpiece of a device. Hats off! Coming to the device, everyone are skeptical about the build quality but believe me it's not at all bad. I've used the Honor play before this and I got a satisfaction using this that I did not get on the Honor play. The camera is absolutely mind blowing and the processor needs no introduction. In the end this is the best device I've used till date ...",1680,278,"Sep, 2018"
harsha vajjarapu,5,Perfect product!,**Beast in the pocket**OP 6 Competitor at low price**,1249,203,"Aug, 2018"
Kavitha  Nampally,5,Wonderful,"Best Flagship phone at affordable price. This is my second poco phone. Rosso red color is super cool. Love the camera , battery and the performance on the phone. Go for it guys without second thought.",428,72,"Oct, 2018"
Flipkart Customer,5,Terrific,First of all I want to say guys this phone is just worth every penny here's are the pros and cons.                  1.The performance Just In Class with 845 Chip                                                         2.The new Laucnher which is very handy to use            3.The Camera's Rear Camera is very good and got good detail's too and front camera also very good it's just make little bit more beauty side but it's better than other competitor                                            ...,1388,290,"Sep, 2018"
Prabhat Shukla,5,Excellent,I'm giving this review after a month usage. this is a terrific purchase. you get the best processor at really good price however I have divided the review in pros and cons.,130,21,"Nov, 2018"
Prince Choudhary,5,Wonderful,Prons:-,319,63,"Nov, 2018"
KSHITISH  MISHRA ,5,Super!,Reviewing after 3 days of heavy usage :,356,77,"Sep, 2018"
kapil bhatia,5,Worth every penny,"This is my review after 5 days of usage. I won't go into specs, but very fast performance and superb battery life. SOT is around 8 hrs ( comparable to my previous phone Moto Z Play). Looks are subjective, i always keep my phone in case (moto z play with glass back was also in case all time, so no problem here). Coming from amoled screen, watching movies is ok (missing those blacks and contrast), but otherwise screen is good. Stock camera processing is not good, it apply heavy noise reduction,...",224,52,"Sep, 2018"
