Author,Rating,Review Title,Full Review,Likes,Dislikes,Date
Ankit  Rao,1,Waste of money!,Worst phone with worst 5g,0,0,Today
Kishore Pandi,5,Awesome,Good(bought on 2021)and still(2023) working without any problem in performance and battery drains too fast,0,0,2 days ago
Avinash  Rao,1,Not recommended at all,Bought this device on August 2021. Running pretty well. Have heard some people get dead mother board issue but I am facing it.. Major drawback for today Jio 5G doesn't work in this device. Which is not expecting from poco flagship phone. Plus they always late to give security updates. If you want for gaming purpose buy it but not recommended for camera and connectivity.,0,1,11 days ago
Namdev Methe,5,Just wow!,Good mobile,0,0,19 days ago
Amit Singh,1,Terrible product,😡🤬😡🤬😡🤬😡🤬😡🤬 jio 5G not supported,0,0,19 days ago
Aynampudi Vijay,4,Good choice,Mobile performance is good and no issues...like it,0,0,23 days ago
Flipkart Customer,5,Simply awesome,I am using this product from 1 year ,0,0,23 days ago
MUHAMMAD AZADUDDIN,1,Absolute rubbish!,"BATTERY DRAIN ALOT. PLEASE FIX IT, NEXT POCO F3 GT INSERT 7000 MAH BATTERY.",0,0,24 days ago
Flipkart Customer,5,Classy product,🔥🔥🔥 killer product,0,0,25 days ago
Sahil Kumar,5,Fabulous!,best smartphone best gaming phone,0,0,28 days ago
komal kant Dubey,1,Not recommended at all,Does not support 5g with jio,0,0,28 days ago
Stevenson DSouza,1,Jio 5g will not work,Jio 5g Not Supported on this phone...,0,0,28 days ago
Flipkart Customer,5,Excellent,GOOD,0,0,1 month ago
Sabnoor Alam,3,Decent product,"Laging problem, many time",0,0,1 month ago
Naveen Tanta,1,Don't waste your money,After 15 months motherboard is dead,1,0,1 month ago
ashish  singh,3,Does the job,"Only 60fps in BGMI , CAMERA NOT GOOD , just ok phone for casual usage, 🤣cannot say it as a gaming phone.",0,0,1 month ago
Girdhar Parmar,5,Best in the market!,Ok,0,0,1 month ago
Flipkart Customer,5,Wonderful,"Excellent phone in the beginning the launcher was failing but after the update it got fixed , camera is ok, battery is good,fast charging helps, we can play games full day , performance is top noch",0,0,1 month ago
Vinayak Gite,5,Highly recommended,I really like this mobile.,0,0,1 month ago
Kiran kumar Kudupudi,4,Good choice,Looking good .performance is well.I was play BgmI no lagging.,0,0,1 month ago
